scenario_id,peak_discharge_m3s,breach_width_m,is_monsoon,base_flow_m3s,mean_arrival_time_min,peak_water_depth_at_outlet_m
0,2502.052183424425,74.54419475264888,1,325.47769576648096,198.45404,0.594827
1,5994.942256239036,56.97627526625915,1,342.02990011279013,198.78835,0.6127966
2,7346.817178399755,77.28150831404116,0,41.12351414505366,221.22162,0.17192222
3,1768.851508425575,108.08387082647633,1,318.0263852459472,198.34068,0.5866186
4,8223.583610074817,84.57009188842841,1,200.64260125744931,212.11513,0.44497108
5,7502.598934890015,118.12677950158131,0,62.15686946096557,220.48592,0.22027813
6,7571.783431480044,74.53029734607459,1,334.84613735279515,199.60356,0.6050414
7,8513.62938886866,195.9344984291637,0,46.58642091735522,221.35495,0.18528213
8,7622.711160480818,154.57847395738202,1,211.8191030110831,211.25037,0.45968148
9,7540.582813488533,49.59661853613541,1,296.6820102989982,203.88382,0.56266856
10,6598.101896399336,95.6667616678411,1,304.08288548354165,203.34659,0.5710486
11,6577.377803977991,136.845200521751,0,50.039783214113086,220.42413,0.19340476
12,8364.597232201042,51.259847477051906,1,273.0705736107624,206.24042,0.5353563
13,8423.299085781822,197.203262874419,0,25.841420059405152,220.88828,0.13009714
14,2604.1642179305336,105.34822766967179,1,151.77294270161218,213.50003,0.37635228
15,6790.668055166324,164.22491814406354,1,223.8280360207532,209.68791,0.4751455
16,2202.589323480831,165.00015788456972,0,56.551503549812544,219.20583,0.20813465
17,8304.696013119266,91.41446731096323,0,51.11767652036462,221.12161,0.19589373
18,802.3883389241112,100.73766972706966,1,194.12963893994709,207.9408,0.4362476
19,825.3403221008627,129.32388177875464,0,40.60003214837724,218.33333,0.17060578
20,684.5819652395164,159.22920154699577,1,349.2061568530746,192.84654,0.6204789
21,6633.014229081993,61.92742892249066,1,270.66087420520665,206.1944,0.53251666
22,5550.727388142657,78.98841512804606,1,187.23538039347363,212.76434,0.42688477
23,761.8316057755349,143.9372058872398,0,46.98197990136934,217.7503,0.18622445
24,751.2049627496245,114.94020443324212,1,347.9594615767629,193.14227,0.6191489
25,7602.98058100981,60.356675117799604,1,221.70286281967594,210.31812,0.47243354
26,7612.613454470147,100.23402124219201,0,65.50867055522085,220.36313,0.22733021
27,2698.5015864221537,63.86318998486673,0,60.414134224372475,219.44623,0.21655142
28,7953.016307261258,120.38889860979624,1,312.3164343331043,201.89139,0.58027625
29,8520.260086686136,171.50301952155704,1,150.16617035296917,215.90787,0.3739566
30,8389.49506419379,61.49266066224763,1,227.11384575222286,210.28868,0.47931835
31,5773.477703095909,192.75106802411432,1,306.3074570385404,201.95013,0.57355154
32,7072.139672540921,102.32049307456784,1,241.56649118816964,208.31476,0.49739334
33,7834.757454571945,115.68119665744435,1,287.7902602554979,204.6143,0.5524889
34,7518.071424052242,116.780060960411,1,321.4432070121602,201.34082,0.59039205
35,4367.157947067479,32.684546876008454,0,48.54426523730089,220.5075,0.1899156
36,6877.675642844608,154.38731167349613,0,36.00854748960771,221.45494,0.15875275
37,7120.805513595673,198.861856781441,1,276.5837800320384,205.56123,0.53947824
38,8243.105456956106,57.68918065586044,0,28.44479008911296,220.98828,0.13780962
39,3818.6235418806905,51.52791254744239,1,198.4401513820079,210.51239,0.44203398
40,5475.4031154458635,93.72181137861207,1,290.44807396274757,203.63217,0.55554473
41,2322.0720385882364,147.84730551419221,0,53.45592913557047,219.02052,0.20122199
42,2898.2260983579367,30.493175128680683,1,309.2498436592234,200.79836,0.57685095
43,5643.892675861486,92.76894058411258,1,185.18260356515924,212.755,0.42407048
44,3364.2375826107627,39.97548534861914,1,152.82847014481257,214.15015,0.37792054
45,6627.721958181583,164.18713445409904,0,61.78068887001784,220.85995,0.21947727
46,964.5688159860015,89.4607661589969,1,255.6368546393953,203.36868,0.51457894
47,1539.0910977811309,149.4290323513389,0,63.06754339166996,217.89914,0.2222089
48,7697.934180937111,113.50894313519936,0,51.61143844365273,220.4194,0.19702688
49,4707.100637722027,195.38829607769705,1,176.325264845581,212.92174,0.41178134
50,9712.188635091887,172.1145396055332,0,57.22533260741806,221.19067,0.20961913
51,1664.0838020170236,133.74034646944426,1,182.85481846801753,210.71817,0.420864
52,3899.3244271395547,125.96822651067154,0,57.27789868048305,219.62025,0.20973462
53,9273.209332168155,199.55615434755077,0,35.38559182610564,220.95494,0.15709913
54,8440.812163399278,73.30310319579974,0,69.32051002360457,220.4934,0.23517707
55,9792.561785848104,32.44423569464517,1,331.3912874066293,200.82385,0.6012881
56,2357.6360027600904,45.13766142442395,0,58.91333439876656,218.82948,0.21330747
57,3913.899298989773,189.62704209281216,0,63.05664279171569,219.91328,0.22218585
58,6629.691821817473,195.48809789250768,1,273.0153311403784,205.99739,0.53529125
59,3132.1699120263643,113.55186007134135,0,54.4409272693592,219.24303,0.20343854
60,945.3922462816555,87.95911518105227,1,185.6030989504349,209.27657,0.42464796
61,6024.839281111406,152.88579504890467,0,50.64318434989602,220.92413,0.1948007
62,2282.6628121645103,31.852449602925372,1,244.82768319711664,205.77713,0.50141144
63,7998.651360262342,159.19204019964076,1,194.5605676364292,212.40948,0.43682835
64,4113.321897188132,144.13847365614723,0,58.109176547150774,219.60544,0.2115557
65,3601.3927751758933,62.37573936837476,1,232.36264980178265,207.74396,0.48593447
66,6687.381821572639,143.2989909368689,1,217.07291381336972,210.44864,0.46648887
67,6435.4177561146735,184.89080826525327,1,227.28197932544253,209.42004,0.47953126
68,3459.969795930662,57.55996237919594,0,50.01976231889521,220.08833,0.19335833
69,7605.297832705556,184.7983137843653,1,249.45715860360053,207.53287,0.5070788
70,4330.309331268943,85.140843605295,1,158.93109981648715,214.27217,0.38690403
71,7767.169819606595,149.05073140840582,1,349.65583839752765,198.65065,0.62095827
72,920.0702748082743,75.12655751443296,1,312.50889158095026,197.96439,0.58049077
73,9143.553985940447,118.2229705655912,1,214.74629373710977,210.88179,0.4634825
74,6640.450199286537,60.169557429889196,1,234.61863121786524,208.70015,0.48875973
75,4800.002063924575,109.53381529515548,1,297.6722740431917,203.33395,0.5637947
76,709.4282936572412,106.32396820364333,0,55.774385759229666,217.74915,0.20641384
77,2483.78711878423,97.33098470033566,1,234.76506605968223,207.45499,0.48894274
78,6326.266146905177,164.62732376255457,0,30.867352489059734,220.75748,0.14473632
79,9316.532549914089,113.87770161280332,1,241.9713956788337,208.78055,0.49789333
80,6240.3651625309985,153.07114265769326,1,256.15924483109166,207.03943,0.5152096
81,5833.7124387541735,164.8139155469628,1,339.56224396511726,198.80768,0.61014014
82,4436.0783823087695,89.7590969657453,1,206.67500896260654,210.74454,0.45295045
83,8440.798869664937,184.64109922080485,1,299.92144721846654,204.3743,0.56634676
84,6022.0959577157155,151.19087502685215,0,49.21616138890478,220.52414,0.19148843
85,7573.877442685104,182.53209726266445,0,37.653192076423345,221.35495,0.16306433
86,2834.710425158373,101.43541592746541,0,52.770553207985785,219.36446,0.19967003
87,1586.8867232888072,109.47773689557631,1,316.58327594829507,198.62718,0.58502
88,9902.88973733773,183.66762388615984,1,213.5879936540173,212.07292,0.4619809
89,809.5494578973887,137.7032630100941,0,61.18284594624421,217.45332,0.21820049
90,2604.088728028253,120.58100881633024,0,36.79447212076007,219.61682,0.16082273
91,4445.184920389311,70.37683006392082,1,216.73671271743228,209.48367,0.4660552
92,2773.056209181377,190.90566620157907,0,27.925751103180488,219.87175,0.13629527
93,3022.1175881662566,125.10312099070806,0,45.822130152926924,219.5757,0.18345226
94,5779.729956754797,158.749759910907,0,36.68399628169188,220.5908,0.16053285
95,6294.53821214288,70.14536553034335,0,53.69339978674213,220.07373,0.20175786
96,6264.164728635557,103.05898416233354,1,295.48574822589813,204.1274,0.56130624
97,7733.8432493128275,96.99931203165285,1,208.87223982621362,211.48065,0.4558336
98,2545.166582685949,116.82059731425825,1,195.35034907642176,210.29817,0.43789142
99,8988.933388833411,51.31850933499797,1,169.83400258599002,214.32758,0.40261754
100,6773.541042448166,146.22102793632067,0,35.7326873694775,220.72414,0.15802191
101,929.7893444686958,34.70725157559123,1,324.1565559381396,196.86507,0.5933771
102,6170.396522660858,69.75329675252166,1,308.79698989023836,201.98483,0.57634395
103,4085.118613666493,155.19513934110208,0,69.42418546461747,219.39287,0.23538804
104,3770.8719411172597,188.81566663158202,0,44.699115316519936,219.77174,0.18074125
105,2388.2288406272883,134.31266392389315,1,290.23797861294463,202.21121,0.5553036
106,7296.4823251884645,99.2712992621229,0,39.6142808899788,220.95494,0.16810822
107,9784.3249208858,175.16576887806627,0,28.863506554968254,221.63333,0.13902321
108,3139.6348234101447,198.78140492106616,1,207.9211639271173,209.67555,0.45458713
109,6727.194214632889,80.21293466772966,1,156.12575728187844,215.36469,0.38279182
110,4653.75461132184,96.3284767237143,1,244.24008159681392,207.48846,0.500689
111,4614.8438923069925,148.82265417128002,1,164.135952368436,213.58891,0.39445743
112,1504.5823862067373,90.69331130122188,1,178.89594917911916,210.48016,0.41537297
113,2889.254594852238,35.42726700227613,1,316.63216468419523,199.37828,0.5850742
114,8747.573967952085,89.35407097040851,0,44.781269684848624,220.98828,0.18094048
115,1600.8052581733666,112.40900415167175,1,287.61220739154123,200.82686,0.5522838
116,3507.305643263787,38.19996675545089,0,64.4069586675731,219.17552,0.22502853
117,7291.366662632002,185.55431878494284,1,214.70317796943715,211.35577,0.46342662
118,4104.646253004326,153.34632568329334,0,53.59516780931912,219.85835,0.2015363
119,3069.3151202319896,161.31844821808698,1,347.36792450751824,196.1927,0.61851716
120,9495.58381314851,46.3964975728,1,281.2562353396793,205.45195,0.54492813
121,9145.089949354897,36.32907810330903,0,43.442743801421614,221.05495,0.1776758
122,6297.550030830653,74.1681463249124,1,261.9254138588827,206.55937,0.52213705
123,9963.579141085107,51.33631617137897,0,45.66277076039498,220.95494,0.18306918
124,9872.695588290693,70.4854118622695,1,230.1752911094697,209.6871,0.48318467
125,8840.577217389635,145.9695261259103,1,277.3694666877777,205.91096,0.5403972
126,5264.020476360435,111.80716727870548,0,44.82580838352544,220.37416,0.18104844
127,8210.700309388412,189.2064264213247,1,269.7975993077556,206.51434,0.53149694
128,8061.076235244788,128.83776715514847,0,42.59536523263685,221.15495,0.17558819
129,2187.0650979221036,61.63826488453792,1,180.36957888906912,211.00592,0.41742253
130,6270.41778278297,61.777794839582,1,218.44813975643785,210.04771,0.46825984
131,1429.8428855572167,87.5541158443842,1,166.469831756888,211.53067,0.39781326
132,2673.8001910054472,103.57043525204216,1,163.47986057054885,212.48396,0.3935106
133,1860.7982963695488,43.05094977079709,1,196.5911720636049,209.96211,0.43955812
134,3440.888742057617,138.12147693171323,1,155.4227554132675,213.95906,0.3817567
135,4807.60204269635,39.92962269645338,1,313.5677039372681,201.69656,0.58167005
136,3315.6230338756222,153.02557206865782,0,38.556839621963206,219.93842,0.16540124
137,5815.331249537911,142.21733827717026,1,282.438753239747,204.04555,0.5463016
138,8781.978476971113,31.499157375090224,0,32.40938375637373,221.05495,0.14903228
139,2467.2348508590276,159.74083456956325,1,244.25405943690978,205.82375,0.5007062
140,1047.2071520306029,87.56743501673506,1,281.43718162932464,201.52264,0.5451384
141,9126.546053699994,161.9561710665342,1,303.2043374231762,203.89227,0.57005817
142,3731.488301023058,87.08539929289002,1,175.76239010698666,212.17688,0.41099212
143,8491.873908225169,128.6921614291308,0,59.582720795812854,221.34438,0.21475838
144,9357.181077600286,59.23608005168049,1,296.83492346864506,204.52412,0.56284255
145,8190.322481287995,173.85700494677425,0,28.088742778503356,220.88828,0.13677202
146,1096.1838396351231,76.05351181340674,0,69.85977706363745,217.49663,0.23627307
147,4327.059768133867,156.58866803175607,0,55.268537227904694,219.80049,0.20528851
148,2939.202825450823,125.781345930016,1,320.00360226889177,199.80704,0.5888041
149,6618.897078442649,183.01494168380907,0,45.06475923191772,220.69081,0.18162689
150,5941.440095627764,123.21475411710826,0,49.534542985059566,220.69081,0.19223072
151,9292.950985508933,34.27403070855499,1,332.38745703750106,201.08836,0.6023719
152,4241.846474849832,43.70874424437921,1,295.9519392700812,202.81139,0.5618374
153,8457.597781778952,192.44502574981982,0,61.951040661501196,221.1838,0.21984018
154,6980.4710610062275,107.52536260814028,1,224.5987866712045,209.75826,0.4761265
155,3670.2935121224104,55.04902613087479,0,36.23937361667495,219.93842,0.15936255
156,3198.587513657223,144.74337099839562,0,48.32086570212478,219.35893,0.18939073
157,7199.467459579812,136.02333381187876,0,25.301265806928726,220.95494,0.12845862
158,5927.402415524243,123.53505628508931,1,229.18846809689268,209.3422,0.48194066
159,9727.524228699458,183.9775614675951,1,192.4204847293266,213.42099,0.433939
160,2587.4902737083753,182.71421674534366,0,37.91876061476702,219.61682,0.16375344
161,2741.7273844957913,74.60841698421461,0,37.4528858072195,219.45018,0.1625433
162,7090.524810238568,152.25665473558712,0,50.7690480369087,220.8873,0.19509104
163,6783.678089995541,112.47490342670693,1,230.29215369173986,209.02345,0.48333186
164,9238.716888129322,77.75042232282433,1,175.8343847563898,213.72853,0.4110931
165,9258.76886907938,39.90750150624706,1,153.12617873940985,216.36235,0.37836206
166,2904.948308374548,64.85994315658841,0,68.58669345575078,219.20766,0.23368014
167,5605.958089837071,138.80664346430711,1,199.94294756021918,211.46364,0.44403943
168,4257.554775667344,78.61563744654977,0,58.31069065111868,219.7611,0.21199559
169,1369.970420136504,105.23151198866988,1,212.95546283067398,207.4896,0.46115953
170,3094.378053783308,88.81076444712485,0,57.19249726232285,219.49329,0.20954695
171,1316.4486862626773,114.95530801703124,1,343.40337155894383,195.25331,0.61427194
172,9775.006197486864,141.36226523968298,1,247.23463929375401,208.21547,0.50436336
173,9048.64112381944,191.4005359544802,1,306.99820019078425,203.63177,0.57432723
174,8421.137937150062,35.622622273163635,1,208.54661679334993,211.50305,0.4554071
175,9804.457071418532,124.57763269525626,1,208.5577790540467,211.49643,0.45542172
176,6175.571350135295,138.93602940660747,1,180.58138554018956,213.00883,0.41771656
177,6958.4762139852055,56.93497028913528,0,43.40945964083054,220.39081,0.1775941
178,2605.4917816704715,153.49609013206515,1,178.86808764483376,211.26111,0.41533414
179,9297.395161222375,94.34841671652366,0,64.46885961587049,221.1088,0.22515827
180,865.95753975826,116.96404680925625,1,320.3406846328548,196.53789,0.5891762
181,6505.2531179778525,128.30098068042702,0,39.49385328376831,220.52414,0.16780142
182,877.207601232516,173.69773092661973,0,59.691944271462425,217.10355,0.21499449
183,9746.969972033166,149.31094015787778,1,327.3543022819741,201.0969,0.5968824
184,8818.199747184657,136.96224721894512,1,150.57652352760093,216.7081,0.37456936
185,5285.4951297931,38.72831960108205,1,250.14536389704372,206.70154,0.50791776
186,6099.054384084922,37.80469245840703,0,66.53586813698755,220.04224,0.22946233
187,3167.8419328512136,119.93255746864669,1,240.34739749027267,206.73906,0.49588567
188,1954.594202289568,163.11727458747316,0,47.92138806774533,218.92412,0.18844974
189,8378.59319515945,149.52323716940765,0,30.766020237793416,221.22162,0.14445104
190,1747.7283099826439,63.42520779462364,1,286.4446572408672,201.9529,0.55093753
191,1756.0252894016644,76.1965509560058,0,44.07365929617991,218.55927,0.17921954
192,3770.669208833508,66.59257051642969,0,35.34818957387035,220.14084,0.15699948
193,9887.499722400718,99.41897918007729,0,34.45484410228419,221.63333,0.15460663
194,5091.195963254723,141.3969271995679,1,244.11393343415108,207.4968,0.5005339
195,3421.4142518104622,75.95437781190691,0,64.50588872291635,219.04521,0.22523585
196,2875.7665797292925,77.67558569598881,1,217.25729348120353,208.42688,0.4667266
197,7924.393761086705,162.90088345860795,1,172.83453785352683,214.2295,0.4068705
198,1888.860011830016,174.85979360948582,1,254.52247845332295,204.63358,0.5132319
